Word, wordscore
,7.140085457517159
Todake,9.0
Br�cke,8.0
Click,6.764705882352941
Gojira,6.6875
jeu,9.166666666666666
Clockstoppers,7.0
kessh-tabi,7.0
Ministry,7.0
Swing,8.0
Tingler,7.0
cicim,7.0
peurejideonteu,10.0
*,7.090909090909091
Written,7.5
+,7.4025735294117645
Touching,8.035714285714285
Naadu,6.0
Team,6.16281512605042
Teal,10.0
Hitch,7.657142857142857
Lovely,6.106481481481481
-,6.861366399932942
3,6.454151793454632
2,6.411014527625987
1,7.147613406918832
0,6.2
7,7.110702614379085
6,7.435146572761251
Cowgirls,10.0
5,6.479759135292534
4,5.527806915306915
9,5.88024790679658
8,7.684650455927052
Flesh,6.7
?,7.113194444444444
Udaan,8.0
D,6.033333333333334
Diemens,6.0
Domination,7.5
E,7.333333333333333
F,6.155555555555556
G,7.777777777777778
@,8.0
A,7.098945948385137
Monogatari,7.0
C,8.444444444444445
L,5.0
Metoroporisu,9.0
M,8.6122311827957
N,6.5
O,6.884356003039513
I,6.929907841767485
esto,8.0
K,5.0
Visions,4.0
Pocus,7.384615384615385
Needles,7.0
U,6.520833333333334
T,4.666666666666667
W,6.333333333333333
V,6.513024299644018
Q,7.449206349206349
Pandian,2.0
S,10.0
R,7.333333333333333
Muertos,7.4
Vadis,7.0
bacchantes,5.0
Y,7.459999999999999
Inyong,4.0
X,7.023804037744131
Enthiran,5.333333333333333
Z,7.782760171006442
e,7.1454545454545455
Skoku,9.0
Downs,7.0
Fee,7.0
Battleship,6.5
a,7.120756400962574
Chicks,6.7272727272727275
n,7.978260869565217
o,7.32784787676092
Fei,6.0
Options,4.0
k,9.0
i,6.673815359477125
w,10.0
Divorzio,8.25
Feo,3.0
v,6.133333333333334
u,7.0
s,6.350304259634889
r,5.675480769230769
Longer,7.928571428571429
Cameras,8.555555555555555
Few,5.8434988179669025
z,8.625
y,6.558163265306122
x,6.0
Kollegiet,5.0
Stephanie,8.0
se�oras,10.0
Otoko,6.5
Gibb,1.0
Month,7.95
desierto,9.0
dames,7.0
Silsila,5.0
Loved,7.623355263157895
mudo,5.0
Silsile,8.0
Junction,7.7
Duchess,7.083333333333333
Starman,8.5
Monty,7.327935222672064
jai,7.0
Teen,6.782407407407407
Lover,6.0
Loves,6.066666666666666
basho,7.0
Cajas,8.0
Frayed,7.0
Romans,5.5
317�me,9.0
Snowball,6.0
Monte,8.287698412698411
�tertrffen,7.142857142857143
5ecret,8.5
Gentlemens,5.0
Prayers,8.0
Teds,6.5
Soldado,6.0
Rakudai,8.0
Zeit,8.5
retour,6.5
[REC]?,4.85
Twister,7.125
Flutter,10.0
Gunday,3.7058823529411766
Twisted,7.666666666666667
Bedroom,7.583333333333333
Colored,8.0
Tycoon,10.0
Journeys,7.0
Sleepers,8.419354838709676
Tear,6.090909090909091
Tumko,5.0
Minnesota,5.0
Trouble,7.220379818594104
Sugar,7.213806706114399
Fin,5.0
Fim,7.5
Rakenrol,5.0
K�f,8.0
Airways,5.5
Hearts,7.208333333333334
Tech,7.0
Craigslist,8.0
Raehat,10.0
Pelham,7.779411764705882
Zebra,8.0
Besharam,5.75
mireniamu,7.0
Cyrus,8.452380952380953
Fix,7.75
Fukush�,9.0
Eye,7.39250700280112
Gift,7.3055555555555545
conforme,7.8
Hayatboyu,8.0
isha,10.0
Inhale,6.142857142857143
Elektra,4.541666666666666
Bowling,8.200000000000001
Bondage,9.0
dellOrsa...,8.0
Hurrah,10.0
Thunderdome,6.411764705882353
Geschichte,7.357142857142858
Gigi,6.333333333333333
Bonnie,8.181818181818182
Wasted,7.75
Jap�n,7.0
Browns,6.0
allitaliana,8.375
Direkt?ren,7.25
Gar�on,6.0
Glorious,6.404761904761905
tu�,7.888888888888889
honrada,6.5
Anfang,8.0
kantai,4.0
baiser,8.0
Darkman,6.181818181818182
boys,3.0
murs,7.5
Bushwhacked,8.0
Naveena,5.0
Godiva,7.0
Fandango,7.0
Daikaij�,5.0
piccola,6.333333333333333
S�bastien,6.666666666666667
Iris,7.25
Linings,8.15205724508051
Swiss,6.111111111111112
Connecticut,6.161904761904762
Love?,6.0
�ogunluk,4.5
piccolo,10.0
Soldaat,8.0
Somethin,8.0
Confused,7.7368421052631575
shitagaru,4.0
Motels,5.0
cheloveka,6.0
Kills,7.362068965517241
Dahmer,5.25
Tillsammans,7.0
d�cart,6.7
jiu,8.333333333333334
Kavvum,6.0
Phoenix,6.454787234042554
Really,9.0
slasti,8.0
jin,7.2
o�,8.5
Meaning,8.035087719298245
jie,6.5
Tell,7.297142857142856
Andr�,4.0
Leprechaun,5.333333333333333
Rejects,6.7272727272727275
Paura,7.5
Eswed,5.0
Nativity,5.057142857142857
jia,7.175
brazo,8.0
Bonner,6.0
R�cit,6.5
Saving,6.685475613227908
Brimstone,10.0
Hoffmann,2.0
Clockwatchers,6.0
Iron,7.335453807011054
detstvo,8.4
vais,7.4
andra,8.4
Westwind,8.0
Tampopo,7.5
Lepel,8.0
Biutiful,7.8
Irma,7.75
gamins,7.0
Detoroito,7.0
Slayer,7.185185185185186
Mannen,8.0
Super-Villains,8.25
Sorcerers,7.252014652014654
lapr�s-midi,7.0
Blackbeards,7.0
drug,9.0
Kumaru,6.0
Tommy,6.571428571428571
Fat,6.819642857142857
In-lyu-myeol-mang-bo-go-seo,7.333333333333333
Dupree,5.714285714285714
Fan,6.583333333333334
Far,7.204761904761904
Liquidificador,9.0
Copycat,7.3
Ti-kkeul-mo-a,8.0
Skateboarders,4.0
Ausgerechnet,6.0
Artificial,7.694444444444445
Birthdays,10.0
Spiders,4.8
Lovers,7.988025210084033
Swedish,3.0
Married?,10.0
Skinning,5.0
Erogotoshi-tachi,9.0
Narayama-bushi,9.0
daikosaten,7.0
Is...,1.0
Doodlebug,7.0
Karma,6.75
Thursday,8.5
Era,5.0
No�l,8.222222222222223
spettro,7.0
Window,7.243421052631578
Score,6.3478260869565215
October,8.196924603174603
UFOs,10.0
Privychka,2.0
Boulevard,6.5
Meathook,10.0
Beetle,8.416666666666666
Trnen,10.0
ist,6.75
Siege,5.969696969696969
Mexico,4.4375
commence,6.75
Asphalt,9.0
ita,7.0
Seddok,3.0
Bernie,6.770491803278688
gro�e,9.0
Scoop,7.133333333333334
Barbe,7.0
Notebook,8.045045045045043
Ri-teon,6.0
Clips,5.0
Mannan,2.0
Mosquito,8.0
Dementia,8.0
