Word, wordscore, occurrence
,7.140085457517159, 124.0
Todake,9.0, 1.0
Br�cke,8.0, 1.0
Click,6.764705882352941, 1.0
Gojira,6.6875, 12.0
jeu,9.166666666666666, 1.0
Clockstoppers,7.0, 1.0
kessh-tabi,7.0, 1.0
Ministry,7.0, 1.0
Swing,8.0, 1.0
Tingler,7.0, 1.0
cicim,7.0, 1.0
peurejideonteu,10.0, 1.0
*,7.090909090909091, 1.0
Written,7.5, 1.0
+,7.4025735294117645, 8.0
Touching,8.035714285714285, 2.0
Naadu,6.0, 1.0
Team,6.16281512605042, 8.0
Teal,10.0, 1.0
Hitch,7.657142857142857, 2.0
Lovely,6.106481481481481, 6.0
-,6.861366399932942, 95.0
3,6.454151793454632, 69.0
2,6.411014527625987, 181.0
1,7.147613406918832, 15.0
0,6.2, 2.0
7,7.110702614379085, 12.0
6,7.435146572761251, 9.0
Cowgirls,10.0, 1.0
5,6.479759135292534, 17.0
4,5.527806915306915, 18.0
9,5.88024790679658, 11.0
8,7.684650455927052, 8.0
Flesh,6.7, 5.0
?,7.113194444444444, 16.0
Udaan,8.0, 1.0
D,6.033333333333334, 6.0
Diemens,6.0, 1.0
Domination,7.5, 1.0
E,7.333333333333333, 3.0
F,6.155555555555556, 3.0
G,7.777777777777778, 1.0
@,8.0, 1.0
A,7.098945948385137, 241.0
Monogatari,7.0, 1.0
C,8.444444444444445, 3.0
L,5.0, 2.0
Metoroporisu,9.0, 1.0
M,8.6122311827957, 2.0
N,6.5, 1.0
O,6.884356003039513, 24.0
I,6.929907841767485, 146.0
esto,8.0, 1.0
K,5.0, 1.0
Visions,4.0, 2.0
Pocus,7.384615384615385, 1.0
Needles,7.0, 1.0
U,6.520833333333334, 4.0
T,4.666666666666667, 3.0
W,6.333333333333333, 1.0
V,6.513024299644018, 7.0
Q,7.449206349206349, 3.0
Pandian,2.0, 1.0
S,10.0, 2.0
R,7.333333333333333, 3.0
Muertos,7.4, 2.0
Vadis,7.0, 1.0
bacchantes,5.0, 1.0
Y,7.459999999999999, 2.0
Inyong,4.0, 1.0
X,7.023804037744131, 21.0
Enthiran,5.333333333333333, 1.0
Z,7.782760171006442, 7.0
e,7.1454545454545455, 33.0
Skoku,9.0, 1.0
Downs,7.0, 1.0
Fee,7.0, 1.0
Battleship,6.5, 2.0
a,7.120756400962574, 240.0
Chicks,6.7272727272727275, 1.0
n,7.978260869565217, 4.0
o,7.32784787676092, 23.0
Fei,6.0, 5.0
Options,4.0, 1.0
k,9.0, 1.0
i,6.673815359477125, 24.0
w,10.0, 1.0
Divorzio,8.25, 1.0
Feo,3.0, 1.0
v,6.133333333333334, 5.0
u,7.0, 1.0
s,6.350304259634889, 34.0
r,5.675480769230769, 8.0
Longer,7.928571428571429, 1.0
Cameras,8.555555555555555, 1.0
Few,5.8434988179669025, 5.0
z,8.625, 4.0
y,6.558163265306122, 21.0
x,6.0, 1.0
Kollegiet,5.0, 1.0
Stephanie,8.0, 1.0
se�oras,10.0, 1.0
Otoko,6.5, 1.0
Gibb,1.0, 1.0
Month,7.95, 2.0
desierto,9.0, 1.0
